                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.96814,                0.52821,                0.97761,                0.50854,                0.60502,                0.43941,                0.31569,                 1.2469,                 1.2568,                 1.0985,             0.00016094,             0.00016094,             0.00016094
                     62,                0.97194,                0.52745,                0.97642,                0.52721,                0.58925,                0.43758,                 0.3166,                 1.2507,                 1.2847,                 1.0974,              0.0001532,              0.0001532,              0.0001532
                     63,                 0.9679,                0.52524,                0.97585,                0.51016,                 0.6014,                0.43838,                0.31708,                 1.2508,                 1.2649,                 1.1003,             0.00014547,             0.00014547,             0.00014547
                     64,                0.96195,                 0.5193,                0.97125,                0.52227,                0.59468,                0.44301,                0.31998,                 1.2506,                 1.2573,                 1.0981,             0.00013773,             0.00013773,             0.00013773
                     65,                0.95829,                0.51859,                0.96967,                0.51516,                0.60308,                0.44106,                0.31784,                 1.2528,                 1.2609,                 1.0962,                0.00013,                0.00013,                0.00013
                     66,                0.95506,                0.51662,                0.97157,                0.51416,                0.59027,                0.44122,                0.31858,                 1.2518,                  1.288,                 1.1007,             0.00012227,             0.00012227,             0.00012227
                     67,                0.95114,                0.51237,                0.97073,                0.51756,                0.59914,                0.43192,                0.31268,                 1.2491,                 1.2849,                 1.0985,             0.00011453,             0.00011453,             0.00011453
                     68,                0.94726,                0.50919,                0.96579,                0.51246,                0.60846,                0.44076,                0.31916,                 1.2482,                 1.2537,                 1.0975,              0.0001068,              0.0001068,              0.0001068
                     69,                0.94669,                0.51033,                0.96829,                0.52441,                0.60056,                0.43701,                0.31679,                 1.2503,                 1.2736,                 1.1002,             9.9063e-05,             9.9063e-05,             9.9063e-05
                     70,                0.94842,                 0.5093,                 0.9685,                0.52542,                0.59536,                0.43595,                 0.3148,                 1.2477,                 1.2776,                  1.099,             9.1328e-05,             9.1328e-05,             9.1328e-05
                     71,                0.93366,                0.45785,                0.96932,                0.52407,                0.60037,                  0.446,                0.32415,                  1.253,                 1.2732,                 1.1005,             8.3594e-05,             8.3594e-05,             8.3594e-05
                     72,                0.92181,                0.44901,                 0.9649,                0.52369,                0.60205,                0.44095,                0.31787,                 1.2502,                 1.2586,                 1.0997,             7.5859e-05,             7.5859e-05,             7.5859e-05
                     73,                0.91847,                0.44719,                0.96257,                0.52328,                0.60064,                  0.444,                0.32111,                 1.2494,                 1.2831,                 1.1004,             6.8125e-05,             6.8125e-05,             6.8125e-05
                     74,                0.91228,                0.44282,                 0.9606,                 0.5281,                0.58092,                0.44073,                0.32065,                 1.2501,                 1.2985,                 1.1022,             6.0391e-05,             6.0391e-05,             6.0391e-05
                     75,                0.90587,                0.43939,                0.95776,                 0.5354,                0.57511,                0.44231,                0.32195,                 1.2527,                 1.3009,                 1.1038,             5.2656e-05,             5.2656e-05,             5.2656e-05
                     76,                0.90667,                0.43856,                0.96026,                0.52565,                0.59643,                0.44219,                0.32186,                  1.251,                 1.2983,                 1.1034,             4.4922e-05,             4.4922e-05,             4.4922e-05
                     77,                 0.9012,                0.43521,                0.95659,                0.52577,                 0.5982,                0.44122,                0.32114,                  1.252,                  1.308,                 1.1049,             3.7188e-05,             3.7188e-05,             3.7188e-05
                     78,                0.89978,                0.43474,                 0.9567,                0.52727,                0.59666,                0.44074,                0.32057,                 1.2524,                 1.2991,                 1.1048,             2.9453e-05,             2.9453e-05,             2.9453e-05
                     79,                0.89661,                 0.4321,                0.95653,                0.52682,                0.59446,                0.44217,                0.32207,                 1.2525,                 1.3121,                 1.1072,             2.1719e-05,             2.1719e-05,             2.1719e-05
                     80,                0.89581,                0.43035,                 0.9556,                0.52318,                0.59968,                0.44228,                0.32195,                 1.2526,                 1.3144,                 1.1058,             1.3984e-05,             1.3984e-05,             1.3984e-05
